SUPPORT,37.72207829,-122.5017208
TRUCK,37.72207829,-122.5017208
TRUCK,37.72207829,-122.5017208
PRIVATE,37.76061396,-122.5016396
ENGINE,37.75968372,-122.5015034
PRIVATE,37.75968372,-122.5015034
ENGINE,37.76069248,-122.5011073
ENGINE,37.76069248,-122.5011073
MEDIC,37.76069248,-122.5011073
MEDIC,37.7605828,-122.5010996
MEDIC,37.7605828,-122.5010996
ENGINE,37.7605828,-122.5010996
TRUCK,37.73726074,-122.5010068
ENGINE,37.73726074,-122.5010068
RESCUE-CAPTAIN,37.73726074,-122.5010068
PRIVATE,37.73726074,-122.5010068
ENGINE,37.74187968,-122.5008641
MEDIC,37.74187968,-122.5008641
ENGINE,37.76484591,-122.500857
MEDIC,37.76484591,-122.500857
MEDIC,37.7503587,-122.5008534
ENGINE,37.7503587,-122.5008534
ENGINE,37.73823929,-122.5000578
MEDIC,37.73823929,-122.5000578
TRUCK,37.73823929,-122.5000578
ENGINE,37.73823929,-122.5000578
TRUCK,37.73823929,-122.5000578
ENGINE,37.73823929,-122.5000578
CHIEF,37.73823929,-122.5000578
CHIEF,37.73823929,-122.5000578
RESCUE SQUAD,37.73823929,-122.5000578
ENGINE,37.73823929,-122.5000578
CHIEF,37.73823929,-122.5000578
ENGINE,37.75502234,-122.499644
MEDIC,37.75502234,-122.499644
ENGINE,37.77844605,-122.4995914
RESCUE-CAPTAIN,37.77844605,-122.4995914
MEDIC,37.77844605,-122.4995914
ENGINE,37.73831726,-122.4995334
MEDIC,37.73831726,-122.4995334
PRIVATE,37.78491088,-122.4995146
RESCUE-CAPTAIN,37.78491088,-122.4995146
ENGINE,37.78491088,-122.4995146
TRUCK,37.78491088,-122.4995146
ENGINE,37.78491088,-122.4995146
CHIEF,37.78491088,-122.4995146
TRUCK,37.78491088,-122.4995146
MEDIC,37.76070861,-122.4994966
ENGINE,37.76070861,-122.4994966
CHIEF,37.76070861,-122.4994966
TRUCK,37.76070861,-122.4994966
ENGINE,37.76070861,-122.4994966
TRUCK,37.76070861,-122.4994966
CHIEF,37.76070861,-122.4994966
CHIEF,37.76070861,-122.4994966
ENGINE,37.76070861,-122.4994966
RESCUE SQUAD,37.76070861,-122.4994966
MEDIC,37.76070861,-122.4994966
PRIVATE,37.75977775,-122.4993619
ENGINE,37.75977775,-122.4993619
TRUCK,37.73547359,-122.4987333
MEDIC,37.77981445,-122.4986204
ENGINE,37.77981445,-122.4986204
ENGINE,37.74671603,-122.498587
MEDIC,37.74671603,-122.498587
MEDIC,37.71457722,-122.4980982
ENGINE,37.71457722,-122.4980982
MEDIC,37.73925863,-122.4980627
MEDIC,37.73925863,-122.4980627
ENGINE,37.73925863,-122.4980627
MEDIC,37.74762097,-122.4980436
RESCUE-CAPTAIN,37.74762097,-122.4980436
ENGINE,37.74762097,-122.4980436
PRIVATE,37.73554376,-122.4976645
MEDIC,37.75710109,-122.4976303
ENGINE,37.75710109,-122.4976303
ENGINE,37.77854483,-122.497454
ENGINE,37.74490038,-122.4973839
MEDIC,37.74490038,-122.4973839
MEDIC,37.76173673,-122.4973495
ENGINE,37.76173673,-122.4973495
MEDIC,37.772919,-122.4970457
MEDIC,37.772919,-122.4970457
MEDIC,37.77859268,-122.4963826
PRIVATE,37.77859268,-122.4963826
MEDIC,37.77968544,-122.4959872
ENGINE,37.77968544,-122.4959872
ENGINE,37.74122196,-122.495915
MEDIC,37.74122196,-122.495915
MEDIC,37.77674184,-122.4953117
ENGINE,37.77674184,-122.4953117
MEDIC,37.77301065,-122.4950403
ENGINE,37.77301065,-122.4950403
ENGINE,37.77488323,-122.4950379
PRIVATE,37.77488323,-122.4950379
ENGINE,37.73044849,-122.4949771
PRIVATE,37.75437239,-122.4946866
MEDIC,37.73438243,-122.4945023
MEDIC,37.74222503,-122.4944433
RESCUE-CAPTAIN,37.74222503,-122.4944433
ENGINE,37.74222503,-122.4944433
MEDIC,37.74222503,-122.4944433
TRUCK,37.74222503,-122.4944433
CHIEF,37.74222503,-122.4944433
RESCUE SQUAD,37.74222503,-122.4944433
MEDIC,37.74222503,-122.4944433
MEDIC,37.76187247,-122.4942742
MEDIC,37.76187247,-122.4942742
ENGINE,37.76374916,-122.4942674
RESCUE SQUAD,37.76374916,-122.4942674
MEDIC,37.76374916,-122.4942674
CHIEF,37.76374916,-122.4942674
RESCUE SQUAD,37.76374916,-122.4942674
ENGINE,37.76374916,-122.4942674
CHIEF,37.76374916,-122.4942674
TRUCK,37.76374916,-122.4942674
ENGINE,37.76374916,-122.4942674
TRUCK,37.76374916,-122.4942674
CHIEF,37.76374916,-122.4942674
ENGINE,37.77679059,-122.4942408
MEDIC,37.77492583,-122.4941052
PRIVATE,37.73663509,-122.4940538
ENGINE,37.73663509,-122.4940538
ENGINE,37.74504842,-122.4940336
MEDIC,37.74504842,-122.4940336
MEDIC,37.74504842,-122.4940336
MEDIC,37.75628408,-122.493745
ENGINE,37.75628408,-122.493745
ENGINE,37.75628408,-122.493745
MEDIC,37.75628408,-122.493745
ENGINE,37.73190988,-122.4937188
PRIVATE,37.73190988,-122.4937188
ENGINE,37.75442094,-122.4936156
PRIVATE,37.75442094,-122.4936156
ENGINE,37.75442094,-122.4936156
MEDIC,37.78162724,-122.4934463
ENGINE,37.73400853,-122.4933454
MEDIC,37.73400853,-122.4933454
PRIVATE,37.77968837,-122.4932973
PRIVATE,37.74509568,-122.4929638
MEDIC,37.74509568,-122.4929638
ENGINE,37.74509568,-122.4929638
PRIVATE,37.78354278,-122.4925102
RESCUE-CAPTAIN,37.75260006,-122.4924136
TRUCK,37.75260006,-122.4924136
ENGINE,37.75260006,-122.4924136
ENGINE,37.75260006,-122.4924136
MEDIC,37.75260006,-122.4924136
CHIEF,37.75260006,-122.4924136
TRUCK,37.78070858,-122.4923728
MEDIC,37.78070858,-122.4923728
ENGINE,37.73605995,-122.4923319
ENGINE,37.73605995,-122.4923319
ENGINE,37.77878171,-122.4922327
MEDIC,37.77878171,-122.4922327
ENGINE,37.71433481,-122.4920479
CHIEF,37.71433481,-122.4920479
TRUCK,37.71433481,-122.4920479
ENGINE,37.71433481,-122.4920479
MEDIC,37.71433481,-122.4920479
TRUCK,37.77689454,-122.4919581
CHIEF,37.77689454,-122.4919581
ENGINE,37.77689454,-122.4919581
TRUCK,37.77689454,-122.4919581
ENGINE,37.77689454,-122.4919581
CHIEF,37.77689454,-122.4919581
ENGINE,37.75637888,-122.4916017
MEDIC,37.75637888,-122.4916017
PRIVATE,37.78075775,-122.4913021
ENGINE,37.78075775,-122.4913021
MEDIC,37.78075775,-122.4913021
TRUCK,37.78075775,-122.4913021
CHIEF,37.78075775,-122.4913021
ENGINE,37.78075775,-122.4913021
MEDIC,37.7807637,-122.4911638
ENGINE,37.75828227,-122.4907982
MEDIC,37.75828227,-122.4907982
ENGINE,37.78169591,-122.4907609
MEDIC,37.78169591,-122.4907609
MEDIC,37.75828837,-122.4906601
ENGINE,37.75828837,-122.4906601
PRIVATE,37.77227634,-122.4906169
ENGINE,37.77227634,-122.4906169
MEDIC,37.75642616,-122.49053
ENGINE,37.75642616,-122.49053
MEDIC,37.78270457,-122.4903669
ENGINE,37.78270457,-122.4903669
PRIVATE,37.75269564,-122.4902664
TRUCK,37.78081065,-122.4900947
CHIEF,37.78081065,-122.4900947
ENGINE,37.78081065,-122.4900947
PRIVATE,37.74709475,-122.4900128
PRIVATE,37.78681667,-122.4899375
ENGINE,37.78681667,-122.4899375
RESCUE-CAPTAIN,37.76113404,-122.4898533
CHIEF,37.76113404,-122.4898533
TRUCK,37.76113404,-122.4898533
PRIVATE,37.76113404,-122.4898533
ENGINE,37.76113404,-122.4898533
RESCUE SQUAD,37.76113404,-122.4898533
MEDIC,37.73395045,-122.4896992
ENGINE,37.74997393,-122.4896064
ENGINE,37.78275371,-122.4892925
MEDIC,37.78275371,-122.4892925
MEDIC,37.74427305,-122.4892102
TRUCK,37.77416171,-122.489139
ENGINE,37.77416171,-122.489139
CHIEF,37.77416171,-122.489139
ENGINE,37.74240621,-122.4890799
MEDIC,37.74240621,-122.4890799
PRIVATE,37.78086102,-122.4890161
ENGINE,37.78086102,-122.4890161
MEDIC,37.78086102,-122.4890161
MEDIC,37.75375239,-122.4887977
ENGINE,37.75375239,-122.4887977
MEDIC,37.76211502,-122.4887754
ENGINE,37.76211502,-122.4887754
MEDIC,37.74528493,-122.488673
ENGINE,37.7818745,-122.488085
MEDIC,37.7818745,-122.488085
ENGINE,37.7818745,-122.488085
MEDIC,37.74719549,-122.4877321
RESCUE-CAPTAIN,37.74719549,-122.4877321
ENGINE,37.74719549,-122.4877321
MEDIC,37.73729191,-122.4875657
MEDIC,37.78867325,-122.4875314
ENGINE,37.78867325,-122.4875314
PRIVATE,37.78867325,-122.4875314
ENGINE,37.76491099,-122.4874285
MEDIC,37.76491099,-122.4874285
ENGINE,37.75376855,-122.487183
TRUCK,37.75376855,-122.487183
ENGINE,37.75376855,-122.487183
TRUCK,37.75376855,-122.487183
CHIEF,37.74910206,-122.4869272
ENGINE,37.74910206,-122.4869272
TRUCK,37.74910206,-122.4869272
PRIVATE,37.74910206,-122.4869272
ENGINE,37.74910206,-122.4869272
ENGINE,37.77999354,-122.486878
MEDIC,37.77999354,-122.486878
MEDIC,37.74164175,-122.4864128
TRUCK,37.74164175,-122.4864128
MEDIC,37.75847727,-122.4863777
ENGINE,37.75847727,-122.4863777
MEDIC,37.75847727,-122.4863777
ENGINE,37.7407107,-122.4862795
MEDIC,37.7407107,-122.4862795
MEDIC,37.73977843,-122.4862792
ENGINE,37.73977843,-122.4862792
MEDIC,37.77814783,-122.4862064
ENGINE,37.77814783,-122.4862064
TRUCK,37.73031322,-122.4862054
CHIEF,37.73031322,-122.4862054
ENGINE,37.73031322,-122.4862054
PRIVATE,37.78476846,-122.4860872
ENGINE,37.78290069,-122.4860861
MEDIC,37.78290069,-122.4860861
MEDIC,37.78290069,-122.4860861
ENGINE,37.78003795,-122.4858076
MEDIC,37.78003795,-122.4858076
ENGINE,37.78100938,-122.4858074
MEDIC,37.78100938,-122.4858074
ENGINE,37.76225041,-122.4857027
PRIVATE,37.7771817,-122.485669
ENGINE,37.7771817,-122.485669
MEDIC,37.77908078,-122.4856684
ENGINE,37.77908078,-122.4856684
TRUCK,37.73882143,-122.4856038
CHIEF,37.73882143,-122.4856038
ENGINE,37.73882143,-122.4856038
PRIVATE,37.74728997,-122.4855932
ENGINE,37.74632295,-122.4850567
PRIVATE,37.74632295,-122.4850567
PRIVATE,37.73739256,-122.4850382
ENGINE,37.73739256,-122.4850382
ENGINE,37.78202549,-122.4848743
MEDIC,37.78202549,-122.4848743
MEDIC,37.78295707,-122.4848735
ENGINE,37.78295707,-122.4848735
MEDIC,37.78009258,-122.4847323
MEDIC,37.78009258,-122.4847323
ENGINE,37.78009258,-122.4847323
